time_bucket,p95_latency_ms,p99_latency_ms,call_count,HTTP_MCR,HTTP_RT,providerRPC_MCR,providerRPC_RT,cpu_utilization,memory_utilization,active_instances,p95_latency_ms_delta1,p99_latency_ms_delta1,HTTP_MCR_delta1,HTTP_RT_delta1,providerRPC_MCR_delta1,providerRPC_RT_delta1,cpu_utilization_delta1,memory_utilization_delta1,p95_latency_ms_delta2,p99_latency_ms_delta2,HTTP_MCR_delta2,HTTP_RT_delta2,providerRPC_MCR_delta2,providerRPC_RT_delta2,cpu_utilization_delta2,memory_utilization_delta2,p95_latency_ms_delta4,p99_latency_ms_delta4,HTTP_MCR_delta4,HTTP_RT_delta4,providerRPC_MCR_delta4,providerRPC_RT_delta4,cpu_utilization_delta4,memory_utilization_delta4,violation_now,label_next_violation
10,77.29999999999927,198.0,8695,0.845792380368048,0.845792380368048,38.08847630394493,13.648318706125803,0.2314565430028598,0.7963599017728786,1259.0,-1.7000000000007276,-4.190000000000509,0.2413147408709564,0.2413147408709564,0.5466706380725483,-0.15249009669024005,0.0004388740041745831,0.00010457779321526584,4.299999999999272,-14.0,0.12307994226541352,0.12307994226541352,0.43585517606565816,-0.20316316366255016,-0.0019669471015759388,-9.534631673069338e-05,-7.899999999999636,-23.959999999999127,-0.0005030965685633992,-0.0005030965685633992,-0.023993910510988314,-0.26560880050927693,-0.0013075524442431874,0.0001548549502118357,0,0
11,81.0,205.0,8743,0.71837165075623,0.71837165075623,40.53657002912364,12.716517712790184,0.23166382360286342,0.7963756407130986,1259.0,3.7000000000007276,7.0,-0.12742072961181805,-0.12742072961181805,2.4480937251787083,-0.931800993335619,0.00020728060000360649,1.573894022000033e-05,2.0,2.8099999999994907,0.11389401125913834,0.11389401125913834,2.9947643632512566,-1.084291090025859,0.0006461546041781896,0.00012031673343526617,10.0,6.5,0.03630815801898457,0.03630815801898457,2.5553216838760875,-0.9708569189965566,0.0006440859948356192,0.00014080236221325482,0,0
12,73.0,182.40000000000146,8933,0.7663045028555668,0.7663045028555668,37.78341938046068,13.652994517792207,0.2288144654816709,0.796228419228903,1259.0,-8.0,-22.599999999998545,0.04793285209933684,0.04793285209933684,-2.7531506486629596,0.9364768050020231,-0.0028493581211925245,-0.00014722148419565873,-4.299999999999272,-15.599999999998545,-0.07948787751248121,-0.07948787751248121,-0.3050569234842513,0.004675811666404073,-0.002642077521188918,-0.0001314825439756584,0.0,-29.599999999998545,0.043592064752932314,0.043592064752932314,0.13079825258140687,-0.1984873519961461,-0.004609024622764857,-0.00022682886070635178,0,0
13,73.0,186.76000000000022,8909,0.7523063757191775,0.7523063757191775,37.7585517606566,13.753991197381769,0.2303905449822125,0.7965432181066705,1259.0,0.0,4.359999999998763,-0.013998127136389371,-0.013998127136389371,-0.024867619804076924,0.10099667958956182,0.0015760795005416162,0.00031479887776753035,-8.0,-18.23999999999978,0.03393472496294747,0.03393472496294747,-2.7780182684670365,1.037473484591585,-0.0012732786206509084,0.00016757739357187162,-6.0,-15.430000000000291,0.1478287362220858,0.1478287362220858,0.21674609478422013,-0.04681760543427416,-0.0006271240164727188,0.0002878941270071378,0,1
14,79.0,266.1399999999994,9087,0.6194594152687367,0.6194594152687367,38.26262907069103,13.978805944102158,0.2291281809446944,0.7963444175371771,1259.0,6.0,79.3799999999992,-0.13284696045044075,-0.13284696045044075,0.5040773100344254,0.22481474672038892,-0.0012623640375181155,-0.00019880056949339586,6.0,83.73999999999796,-0.14684508758683013,-0.14684508758683013,0.47920969023034843,0.32581142630995075,0.0003137154630235006,0.00011599830827413449,1.7000000000007276,68.13999999999942,-0.22633296509931133,-0.22633296509931133,0.17415276674609714,0.3304872379763548,-0.0023283620581654174,-1.5484235701523907e-05,1,0
15,85.0,221.97999999999956,9635,0.6734182975556734,0.6734182975556734,38.883756949960286,14.450200197211156,0.2329306992570976,0.7963271914634371,1259.0,6.0,-44.159999999999854,0.05395888228693668,0.05395888228693668,0.6211278792692596,0.47139425310899874,0.003802518312403219,-1.7226073739995407e-05,12.0,35.219999999999345,-0.07888807816350407,-0.07888807816350407,1.125205189303685,0.6962089998293877,0.0025401542748851036,-0.00021602664323339127,4.0,16.979999999999563,-0.0449533532005566,-0.0449533532005566,-1.6528130791633515,1.7336824844209726,0.0012668756542341952,-4.8449249661519644e-05,0,0
16,73.0,188.0,10228,0.6684273172179968,0.6684273172179968,37.83700688377019,14.101310600141412,0.23288274515074878,0.796681283957623,1259.0,-12.0,-33.97999999999956,-0.004990980337676643,-0.004990980337676643,-1.0467500661901,-0.34888959706974454,-4.7954106348835346e-05,0.00035409249418594246,-6.0,-78.13999999999942,0.04896790194926004,0.04896790194926004,-0.4256221869208403,0.1225046560392542,0.003754564206054384,0.00033686642044594706,0.0,5.599999999998545,-0.09787718563757009,-0.09787718563757009,0.05358750330950812,0.44831608234920495,0.004068279669077884,0.00045286472872008154,0,0
17,73.0,206.70999999999913,9744,1.0382033018722645,1.0382033018722645,38.00984908657665,13.98503523934986,0.23099697105810568,0.7963891449762395,1259.0,0.0,18.709999999999127,0.36977598465426775,0.36977598465426775,0.17284220280646423,-0.11627536079155121,-0.0018857740926430944,-0.00029213898138358285,-12.0,-15.270000000000437,0.3647850043165911,0.3647850043165911,-0.8739078633836357,-0.46516495786129575,-0.0019337281989919297,6.195351280235961e-05,0.0,19.94999999999891,0.28589692615308704,0.28589692615308704,0.2512973259200493,0.23104404196809192,0.0006064260758931739,-0.00015407313043103166,0,0
18,72.0,188.15999999999622,10222,0.63842824291487,0.63842824291487,37.79958300238284,14.145516192674851,0.2307189805698731,0.7966331063612195,1259.0,-1.0,-18.55000000000291,-0.3997750589573945,-0.3997750589573945,-0.21026608419381176,0.16048095332499024,-0.0002779904882325712,0.0002439613849800626,-1.0,0.1599999999962165,-0.02999907430312676,-0.02999907430312676,-0.037423881387347535,0.04420559253343903,-0.0021637645808756656,-4.817759640352026e-05,-7.0,-77.9800000000032,0.01896882764613328,0.01896882764613328,-0.46304606830818784,0.16671024857269323,0.0015907996251787182,0.0002886888240424268,0,0
19,72.0,201.3199999999997,9785,0.6149828461750915,0.6149828461750915,37.68465713529256,14.050376530617203,0.229522419711083,0.7966962650335432,1259.0,0.0,13.160000000003492,-0.023445396739778523,-0.023445396739778523,-0.11492586709027819,-0.09513966205764746,-0.0011965608587901078,6.31586723236488e-05,-1.0,-5.389999999999418,-0.42322045569717304,-0.42322045569717304,-0.32519195128408995,0.06534129126734278,-0.001474551347022679,0.0003071200573037114,-13.0,-20.659999999999854,-0.058435451380581926,-0.058435451380581926,-1.1990998146677256,-0.39982366659395296,-0.0034082795460146087,0.000369073570106071,0,0
