msinstanceid,nodeid,event_timestamp
22058998333de47f93baa2a7d969328c02b11a499f60cf415df63d1b6855d9ed,72b08c2c62090c3f667c86bba31873e577c0b3d1c07d25f36e8d38d71306f5b5,0.0
23cd3b7d837cb1de64d4559482869888112002fea43ac5b69ecf3d61ab0eecc6,b9020f1aacbeed395cc3ab2ccc2f3022ff500bda9ff63e4fa0cfe083d8a97a9c,0.0
24f103f42519d202371aa44eb738154644c7cba11cf9c6b77c1f6294f224d4ea,ff253efe76002264fc266a1ea84aedcd11202736df9dd9b83e2773fc95792394,0.0
25194c840c7d3c9fd0d7b52975e4e31c721b9f64c40be6a67db877a9cdfbb47d,ffb5a625924945049d528af54135361a7bc0f1a14454bf40b7163649264f85cc,0.0
25d7750bfda8d288227699cf77ac365ceb022ad567bc5d4cc981de4815fdedae,482c1d99e3bd0b09fe4297c5502db44d8e746e1c131f851b5e8de8a9622d56c5,0.0
2637e8ab5ea75c7b2b5ea048d66c06644efdc44f045414e816b70544aa9739aa,60673dbab7a35d465ef81a272ef497b00a497a711fd662fc77f7a1a810328e04,0.0
26e248055faddfcc83f74d2f6bdef2eab0cd30ecb7b6e911f9c000af544fb0cd,381847db3ee160f737f5427914505f82c00e165fd629611d0dccd3b86c1942c6,0.0
292df7f784b0ee5125639d1c65bf56a676beeb4e80a62e1eec718142adf3adf8,259d9a5f843a69f39228c1dad62de0d982a0ca58af42d86c57a6c7c6e3c15284,0.0
29ade145419e29009bf56067a4b355d6114e1a6fb303180720702b86fe13f563,d6ba7114024b72ced0a47223130b5829354680411009854418992aca00a17361,0.0
2a00861d53448aad8c3b7e6dd1511c0375dc09bc87bcbd6b77b2f21f9723603a,d99e5c607751aed86a4afb335dd76032200fbb870543faa7da244cdafa3d63c4,0.0
2aeff6b57f3ff23c13e6c865ba9855d19ec8b5a3b09c8e38972b11dc8b03c758,c97beb8cca7e7501398d595f2b5071f76e51cc7a9caca0c5fc11e7dcca50423c,0.0
2b501a6e0842a9e90bed4d394f1569208ccf6366cc6d9ffe3151f724ddb4dddc,9c68d55691d8aaa5f43645e7c1b91d4083638c63bcf084786f1e5dd80970a4c5,0.0
2b8ae63d2bf035791c862c601a2d939f9b39466f97273c3be3eb38a22f2b07c7,0d18c3bf74a2be3f334c30797a3940b2e644f537e62a71ce01dc7e7a50f01e0c,0.0
2bd694d10e257b7feb51d5c811e94eaf5506901c7149f332e848044f48775b54,c66129d60351f7e3198d7796866bb6d3feb80c17c1fa8d03cf5cfe7f625105de,0.0
