time_bucket,p95_latency_ms,p99_latency_ms,call_count,HTTP_MCR,HTTP_RT,providerRPC_MCR,providerRPC_RT,cpu_utilization,memory_utilization,active_instances,p95_latency_ms_delta1,p99_latency_ms_delta1,HTTP_MCR_delta1,HTTP_RT_delta1,providerRPC_MCR_delta1,providerRPC_RT_delta1,cpu_utilization_delta1,memory_utilization_delta1,p95_latency_ms_delta2,p99_latency_ms_delta2,HTTP_MCR_delta2,HTTP_RT_delta2,providerRPC_MCR_delta2,providerRPC_RT_delta2,cpu_utilization_delta2,memory_utilization_delta2,p95_latency_ms_delta4,p99_latency_ms_delta4,HTTP_MCR_delta4,HTTP_RT_delta4,providerRPC_MCR_delta4,providerRPC_RT_delta4,cpu_utilization_delta4,memory_utilization_delta4,violation_now,label_next_violation
10,447.0,512.0,36542.0,140.04167195222232,140.04167195222232,20.03662854030501,183.17233529625923,0.32661275536798207,0.7339930175955779,306.0,-3.0,-2.0,-0.050347041208056,-0.050347041208056,0.00833333333333286,0.09761641946502664,-0.00048271070985278497,-2.8900461259251387e-05,-3.0,-5.0,0.24080801797603613,0.24080801797603613,0.06674836601307277,-0.3482223115946965,0.0007580952855082979,2.8578284519187314e-05,-5.0,-8.0,-0.11613625995218513,-0.11613625995218513,0.09351851851851833,0.04319306515819221,0.0016934739078778294,-6.956719105533082e-05,0,0
11,446.0,514.0,37593.0,140.3639277776592,140.3639277776592,20.110511982570806,183.70138849493893,0.32788244474405337,0.7339367340592777,306.0,-1.0,2.0,0.32225582543688347,0.32225582543688347,0.0738834422657959,0.5290531986796907,0.0012696893760713035,-5.628353630016125e-05,-4.0,0.0,0.27190878422882747,0.27190878422882747,0.08221677559912877,0.6266696181447173,0.0007869786662185185,-8.518399755941264e-05,-6.049999999995634,-4.0,0.2641631798975368,0.2641631798975368,0.1455610021786491,1.0134800830225572,0.004400415677676739,-0.00015200080435262553,0,0
12,444.0,512.0,36567.0,141.02714061283373,141.02714061283373,20.09281045751634,183.38790588013492,0.32757362938488627,0.7340371262014301,306.0,-2.0,-2.0,0.6632128351745337,0.6632128351745337,-0.017701525054466316,-0.31348261480400197,-0.0003088153591671028,0.00010039214215240566,-3.0,0.0,0.9854686606114171,0.9854686606114171,0.05618191721132959,0.21557058387568873,0.0009608740169042007,4.410860585224441e-05,-6.0,-5.0,1.2262766785874533,1.2262766785874533,0.12293028322440236,-0.1326517277190078,0.0017189693024124986,7.268689037143172e-05,0,0
13,443.0,506.0,36902.0,140.19894386724204,140.19894386724204,20.098257080610022,182.7059096014755,0.32626622820134454,0.7340049661842047,306.0,-1.0,-6.0,-0.828196745591697,-0.828196745591697,0.00544662309368249,-0.681996278659426,-0.0013074011835417232,-3.216001722539108e-05,-3.0,-8.0,-0.16498391041716332,-0.16498391041716332,-0.012254901960783826,-0.995478893463428,-0.001616216542708826,6.823212492701458e-05,-7.0,-8.0,0.10692487381166416,0.10692487381166416,0.06996187363834494,-0.36880927531871066,-0.0008292378764903074,-1.6951872632398057e-05,0,0
14,445.0,511.0,37909.0,139.71052609490275,139.71052609490275,20.050571895424834,182.5590201854631,0.3251660089029746,0.7339897880367204,306.0,2.0,5.0,-0.4884177723392895,-0.4884177723392895,-0.047685185185187606,-0.14688941601238525,-0.0011002192983699532,-1.5178147484307125e-05,1.0,-1.0,-1.3166145179309865,-1.3166145179309865,-0.042238562091505116,-0.8288856946718113,-0.0024076204819116764,-4.7338164709698205e-05,-2.0,-1.0,-0.33114585731956936,-0.33114585731956936,0.013943355119824474,-0.6133151107961226,-0.0014467464650074757,-3.229558857453796e-06,0,0
15,444.0,513.0,36717.0,139.85493745906624,139.85493745906624,20.265359477124182,183.16491567376818,0.32582055486531225,0.7340008546324337,306.0,-1.0,2.0,0.14441136416348854,0.14441136416348854,0.21478758169934764,0.605895488305066,0.0006545459623376604,1.1066595713260519e-05,1.0,7.0,-0.34400640817580097,-0.34400640817580097,0.16710239651416003,0.45900607229268076,-0.00044567333603229287,-4.1115517710466065e-06,-2.0,-1.0,-0.5089903185929643,-0.5089903185929643,0.1548474945533762,-0.5364728211707472,-0.002061889878741119,6.412057315596797e-05,0,0
16,443.0,508.0,37210.0,139.84341543659968,139.84341543659968,20.252777777777776,182.62083852948953,0.3255261181675876,0.7340203788545396,306.0,-1.0,-5.0,-0.011522022466550652,-0.011522022466550652,-0.012581699346405628,-0.5440771442786456,-0.00029443669772466485,1.952422210593774e-05,-2.0,-3.0,0.1328893416969379,0.1328893416969379,0.202205882352942,0.06181834402642039,0.00036010926461299553,3.059081781919826e-05,-1.0,-4.0,-1.1837251762340486,-1.1837251762340486,0.1599673202614369,-0.7670673506453909,-0.002047511217298681,-1.6747346890499948e-05,0,0
17,450.0,519.0,36998.0,140.34876118003277,140.34876118003277,20.33423202614379,182.92370027784153,0.32454084465077593,0.7340058029866686,306.0,7.0,11.0,0.5053457434330824,0.5053457434330824,0.08145424836601478,0.30286174835200086,-0.0009852735168116578,-1.4575867871013948e-05,6.0,6.0,0.4938237209665317,0.4938237209665317,0.06887254901960915,-0.24121539592664476,-0.0012797102145363226,4.948354234923791e-06,7.0,13.0,0.14981731279073074,0.14981731279073074,0.2359749455337692,0.217790676366036,-0.0017253835505686155,8.368024638771843e-07,0,0
18,454.0,524.0,37306.0,140.04465242595535,140.04465242595535,20.383632897603484,181.8818153060583,0.32310134938409574,0.734119900301391,306.0,4.0,5.0,-0.30410875407741855,-0.30410875407741855,0.0494008714596923,-1.0418849717832472,-0.0014394952666801908,0.00011409731472233897,11.0,16.0,0.2012369893556638,0.2012369893556638,0.13085511982570708,-0.7390232234312464,-0.0024247687834918485,9.952144685132502e-05,9.0,13.0,0.3341263310526017,0.3341263310526017,0.3330610021786491,-0.677204879404826,-0.002064659518878853,0.00013011226467052328,0,0
19,452.0,519.7200000000012,36929.0,140.17420991723446,140.17420991723446,20.415305010893245,183.3920437085942,0.326052740202647,0.7343127263916863,306.0,-2.0,-4.279999999998836,0.1295574912791153,0.1295574912791153,0.03167211328976194,1.5102284025359154,0.0029513908185512805,0.00019282609029536157,2.0,0.7200000000011642,-0.17455126279830324,-0.17455126279830324,0.08107298474945424,0.46834343075266816,0.0015118955518710897,0.00030692340501770055,8.0,6.720000000001164,0.31927245816822847,0.31927245816822847,0.1499455337690634,0.2271280348260234,0.0002321853373347671,0.00031187175925262434,0,0
20,449.0,523.7300000000032,37828.0,141.12655726281955,141.12655726281955,20.663779956427014,183.57083023898312,0.32867044536532725,0.7342568857997072,306.0,-3.0,4.010000000002037,0.9523473455850819,0.9523473455850819,0.24847494553376848,0.17878653038891912,0.0026177051626802283,-5.584059197916158e-05,-5.0,-0.2699999999967986,1.0819048368641973,1.0819048368641973,0.2801470588235304,1.6890149329248345,0.005569095981231509,0.0001369854983162,6.0,15.730000000003201,1.283141826219861,1.283141826219861,0.4110021786492375,0.9499917094935881,0.0031443271977396603,0.00023650694516752502,0,0
21,449.0,522.0,37254.0,141.54538832558544,141.54538832558544,20.656181917211327,183.26136461562626,0.33021252836891574,0.7342591605155296,306.0,0.0,-1.7300000000032014,0.41883106276588933,0.41883106276588933,-0.0075980392156864696,-0.3094656233568571,0.0015420830035884903,2.274715822481177e-06,-3.0,2.279999999998836,1.3711784083509713,1.3711784083509713,0.240876906318082,-0.130679092967938,0.004159788166268719,-5.35658761566804e-05,-1.0,3.0,1.196627145552668,1.196627145552668,0.32194989106753624,0.33766433778473015,0.005671683718139808,0.00025335752886102014,0,0
